image_filename,split,drone_types,num_drones,condition,avg_drone_size_pct,has_occlusion,has_motion_blur,background_source
drone_00000.jpg,train,mohajer_6;mohajer_6,2,hazy,0.0017,False,False,hazy_0030.jpg
drone_00001.jpg,train,mohajer_6,1,night,0.0025,False,True,night_0017.jpg
drone_00002.jpg,test,shahed_136,1,night,0.0079,True,False,night_0073.jpg
drone_00003.jpg,train,shahed_238,1,day,0.0045,False,True,day_0005.jpg
drone_00004.jpg,train,mq9_reaper,1,night,0.002,False,True,night_0060.jpg
drone_00005.jpg,train,mohajer_6;shahed_238,2,day,0.0006,True,False,day_0023.jpg
drone_00006.jpg,train,mohajer_6,1,hazy,0.0016,False,True,hazy_0082.jpg
drone_00007.jpg,train,shahed_238;mohajer_6;dji_mavic,3,hazy,0.0027,False,True,hazy_0088.jpg
drone_00008.jpg,val,shahed_136;shahed_136,2,hazy,0.0008,False,True,hazy_0036.jpg
drone_00009.jpg,train,dji_mavic,1,day,0.0036,False,False,day_0036.jpg
drone_00010.jpg,val,shahed_238;mq9_reaper,2,day,0.0014,False,True,day_0043.jpg
drone_00011.jpg,train,dji_mavic;shahed_238,2,night,0.002,True,True,night_0006.jpg
drone_00012.jpg,test,shahed_238;mq9_reaper;mq9_reaper,3,night,0.0013,False,True,night_0016.jpg
drone_00013.jpg,train,shahed_238,1,night,0.0006,False,True,night_0022.jpg
drone_00014.jpg,train,shahed_136,1,hazy,0.0021,False,False,hazy_0017.jpg
drone_00015.jpg,train,shahed_136;shahed_238,2,day,0.0005,True,False,day_0072.jpg
drone_00016.jpg,train,mq9_reaper,1,hazy,0.0015,False,True,hazy_0007.jpg
drone_00017.jpg,train,shahed_136;shahed_136,2,night,0.0013,True,True,night_0012.jpg
drone_00018.jpg,test,shahed_136,1,hazy,0.0012,True,False,hazy_0032.jpg
drone_00019.jpg,train,mohajer_6;dji_mavic,2,night,0.0009,True,True,night_0048.jpg
drone_00020.jpg,train,dji_mavic,1,day,0.0001,False,False,day_0067.jpg
